latitude,longitude
33.875,-117.743
40.973,-73.863
42.876,-85.763
34.12,-84.516
38.922,-76.851
30.208,-95.453
38.673,-121.724
34.187,-118.603
47.779,-122.149
44.939,-92.964
36.065,-80.318
39.158,-78.159
45.333,-122.766
34.247,-77.873
29.954,-95.547
37.68,-97.225
39.359,-76.447
39.036,-77.056
40.907,-74.571
39.864,-105.067
33.768,-117.991
34.153,-118.797
40.744,-73.598
40.69,-111.954
42.132,-72.622
46.844,-96.887
41.561,-93.805
28.191,-82.393
47.402,-120.282
29.534,-95.137
40.891,-74.25
41.543,-72.971
38.92,-76.95
46.146,-123.915
42.396,-71.264
21.42,-158.006
28.044,-82.581
29.432,-98.715
33.023,-96.83
36.139,-86.884
29.784,-95.787
30.202,-81.756
37.641,-77.56
38.904,-104.817
18.404,-66.195
33.187,-117.276
36.294,-119.306
34.515,-117.32
45.684,-122.604
34.182,-118.464
38.132,-122.215
38.35,-121.981
40.694,-74.29
46.565,-120.496
39.127,-123.197
42.593,-114.464
33.699,-117.824
33.727,-117.796
37.52,-120.888
46.997,-122.918
36.016,-95.887
47.445,-122.251
32.252,-110.859
44.736,-85.57
37.754,-121.476
34.005,-84.569
33.808,-118.332
41.677,-83.628
40.52,-104.989
45.436,-122.756
39.993,-104.978
33.473,-111.985
40.861,-74.064
33.349,-111.959
33.52,-117.156
30.461,-84.213
47.225,-122.467
43.057,-76.27
33.61,-112.41
39.96,-105.172
37.372,-121.996
43.165,-89.275
36.163,-115.333
29.586,-95.642
41.313,-81.817
38.021,-121.292
39.023,-77.404
40.573,-74.17
29.639,-95.578
38.796,-90.609
44.968,-93.35
37.125,-113.522
45.55,-94.203
41.909,-88.34
37.21,-93.223
39.286,-84.452
47.657,-117.333
34.94,-81.998
39.579,-119.74
40.123,-111.649
32.943,-97.113
41.197,-111.979
40.56,-111.975
29.611,-98.476
43.512,-96.741
34.283,-118.797
47.654,-122.682
33.804,-118.165
39.644,-105.006
33.4,-84.622
48.079,-123.125
29.576,-98.317
47.565,-122.329
33.624,-111.902
42.055,-88.045
40.382,-111.918
27.233,-82.498
32.841,-116.989
38.42,-122.712
34.925,-120.419
36.985,-122.035
34.403,-118.46
37.358,-121.937
40.551,-111.894
36.617,-121.847
40.239,-75.576
33.137,-117.124
35.252,-120.689
37.718,-122.181
33.469,-117.676
37.311,-121.851
37.318,-121.811
37.771,-122.411
34.112,-117.829
32.816,-117.154
34.069,-117.261
40.731,-111.9
36.703,-121.667
38.468,-121.415
38.607,-121.387
32.182,-110.947
35.988,-115.139
39.639,-105.085
35.296,-119.057
32.712,-117.114
35.046,-89.796
33.298,-111.748
35.068,-106.531
38.508,-90.339
37.641,-122.403
37.662,-122.402
28.496,-81.426
39.636,-86.089
30.222,-97.839
26.681,-80.22
42.496,-82.937
38.782,-121.266
43.26,-123.351
38.352,-122.715
32.908,-96.446
43.114,-77.614
44.051,-92.521
40.458,-80.167
40.925,-72.704
32.423,-90.147
37.898,-122.321
39.507,-119.786
40.734,-73.864
37.48,-122.217
47.667,-122.164
40.586,-122.347
32.636,-117.025
34.077,-117.547
38.59,-121.264
35.818,-78.622
40.767,-73.937
47.156,-122.309
40.281,-74.672
34.548,-112.397
32.937,-117.036
38.645,-77.3
45.556,-122.521
41.009,-73.691
26.274,-80.148
42.906,-112.455
42.564,-87.921
41.589,-88.169
42.232,-83.741
33.492,-112.128
26.194,-98.199
30.47,-97.59
43.09,-88.23
41.535,-83.636
33.928,-84.352
38.862,-77.057
26.008,-80.361
29.545,-95.391
39.559,-104.776
33.6,-111.983
33.802,-116.391
26.808,-80.087
34.272,-118.428
34.224,-119.15
39.404,-76.789
38.907,-94.671
28.403,-81.407
41.601,-87.86
40.282,-111.68
34.064,-117.573
41.264,-96.102
35.605,-97.53
40.619,-73.653
40.243,-74.049
41.846,-87.963
38.086,-122.552
41.092,-73.452
33.922,-118.104
34.23,-118.554
41.845,-87.807
40.612,-74.46
40.436,-74.507
36.852,-76.201
42.012,-87.782
37.106,-76.495
38.739,-77.2
40.898,-73.794
29.967,-90.11
41.709,-72.766
42.945,-88.106
40.862,-73.133
42.703,-71.441
26.219,-81.773
41.727,-88.206
41.107,-74.026
43.614,-116.592
32.327,-111.048
29.575,-98.596
40.11,-83.189
35.196,-106.662
37.389,-121.883
41.799,-88.124
35.192,-89.793
38.315,-85.574
61.21,-149.804
47.767,-117.385
33.659,-112.115
25.914,-80.154
39.255,-94.599
36.842,-119.789
32.9,-97.321
33.706,-78.916
40.658,-111.891
35.826,-86.417
38.742,-77.086
42.083,-87.937
32.88,-79.794
39.971,-74.912
37.42,-122.093
33.572,-84.333
33.938,-117.279
32.822,-117.225
35.582,-80.852
35.313,-97.497
40.238,-75.237
32.364,-86.151
34.037,-118.104
34.083,-117.69
37.7,-121.066
30.647,-88.119
46.895,-114.039
32.78,-117.13
41.72,-86.173
44.999,-93.216
41.249,-73.024
43.604,-84.169
43.098,-89.523
42.382,-83.334
25.775,-80.322
25.919,-80.297
42.236,-87.904
33.392,-111.668
41.474,-87.322
43.661,-116.436
37.302,-120.494
43.183,-88.112
40.759,-73.422
41.908,-87.835
33.218,-96.664
41.525,-81.447
20.888,-156.451
35.127,-80.704
48.148,-122.189
40.361,-74.304
45.028,-93.041
45.092,-93.424
37.786,-121.256
40.796,-73.933
38.597,-90.505
38.787,-77.515
39.71,-74.287
34.062,-83.995
42.517,-83.119
47.834,-122.276
47.826,-122.311
33.563,-101.945
42.321,-88.962
38.205,-85.666
34.126,-118.263
38.1,-121.266
37.702,-121.811
34.757,-92.454
40.74,-96.699
41.931,-87.677
38.025,-84.407
32.997,-96.964
38.959,-94.731
40.39,-111.827
39.115,-77.533
40.631,-73.738
36.172,-115.163
26.587,-80.071
40.052,-76.256
34.66,-118.149
33.85,-118.142
42.629,-82.981
42.185,-88.092
42.179,-88.338
33.695,-117.334
33.556,-117.677
33.568,-117.712
30.156,-92.043
47.06,-122.76
41.178,-96.104
33.707,-116.272
32.775,-117.022
33.933,-117.97
19.687,-156.02
47.681,-122.183
40.091,-75.384
46.226,-119.235
25.656,-80.413
21.968,-159.382
21.328,-158.088
39.068,-94.583
48.235,-114.331
42.271,-85.648
58.358,-134.483
21.318,-157.87
47.551,-122.05
33.661,-117.744
