Ticker,Date,Open,High,Low,Close,Volume,Quarter
COST,"October 10, 2017",155.669998,157.360001,155.080002,156.869995,5420200,2017 Q4
COST,"October 11, 2017",157.300003,158.960007,157.059998,157.869995,3859300,2017 Q4
COST,"October 12, 2017",157.869995,157.990005,156.360001,157.220001,3596300,2017 Q4
COST,"October 13, 2017",157.419998,160.080002,157.089996,159.850006,3634500,2017 Q4
COST,"October 16, 2017",159.380005,159.800003,158.320007,158.809998,2453700,2017 Q4
COST,"October 17, 2017",159,159.270004,157.570007,158.380005,2426800,2017 Q4
COST,"October 18, 2017",158.839996,158.839996,157.309998,157.550003,3011300,2017 Q4
COST,"October 19, 2017",157.139999,158.759995,157,158.460007,2981700,2017 Q4
COST,"October 20, 2017",158.970001,161.009995,158.509995,160.770004,3993200,2017 Q4
COST,"October 23, 2017",160.850006,162.389999,160.580002,162.039993,2811200,2017 Q4
COST,"October 24, 2017",161.160004,162.889999,161,162.289993,3040700,2017 Q4
COST,"October 25, 2017",161,163,160.580002,162.179993,3603900,2017 Q4
COST,"October 26, 2017",162.460007,163.550003,160.789993,162.460007,3038900,2017 Q4
COST,"October 27, 2017",160.800003,162.679993,160.699997,162.380005,3399900,2017 Q4
COST,"October 30, 2017",161.990005,162,159.470001,160.229996,2550700,2017 Q4
COST,"October 31, 2017",159.839996,161.270004,159.720001,161.080002,2513600,2017 Q4
COST,"November 1, 2017",161.970001,163.289993,161.289993,162.690002,2129400,2017 Q4
COST,"November 2, 2017",163.729996,165.550003,162.610001,164.949997,3255700,2017 Q4
COST,"November 3, 2017",164.160004,167.070007,163.779999,166.440002,3112500,2017 Q4
COST,"November 6, 2017",165.800003,166.589996,164.979996,165.050003,1917300,2017 Q4
COST,"November 7, 2017",165.199997,166.5,164.600006,166.279999,1944200,2017 Q4
COST,"November 8, 2017",166.630005,169.190002,166.020004,169.050003,3494300,2017 Q4
COST,"November 9, 2017",167.479996,169.309998,167.050003,169.110001,2094000,2017 Q4
COST,"November 10, 2017",168.440002,171.380005,168.080002,171.360001,2673100,2017 Q4
COST,"November 13, 2017",171,173.089996,170.649994,171.460007,4093300,2017 Q4
COST,"November 14, 2017",170.820007,171.830002,169.770004,171.440002,1774300,2017 Q4
COST,"November 15, 2017",169.300003,170.729996,167.059998,169,2439900,2017 Q4
COST,"November 16, 2017",170.229996,171.339996,169.160004,170.979996,2342700,2017 Q4
COST,"November 17, 2017",171,172.199997,170.649994,170.979996,2100600,2017 Q4
COST,"November 20, 2017",171.110001,172.529999,170.850006,172.279999,1955000,2017 Q4
COST,"November 21, 2017",172.960007,174.190002,172.550003,173.419998,2360200,2017 Q4
COST,"November 22, 2017",173.839996,174,171.100006,172.479996,1950100,2017 Q4
COST,"November 24, 2017",172.380005,173.160004,171.5,171.619995,789400,2017 Q4
COST,"November 27, 2017",172.25,173.059998,171.119995,172.610001,2346700,2017 Q4
COST,"November 28, 2017",173.320007,174.179993,172.550003,173.649994,2728400,2017 Q4
COST,"November 29, 2017",174,177.740005,173.550003,177.529999,4683000,2017 Q4
COST,"November 30, 2017",180.429993,184.899994,180.220001,184.429993,7716600,2017 Q4
COST,"December 1, 2017",183.259995,185.179993,181.130005,185.130005,4034400,2017 Q4
COST,"December 4, 2017",187.220001,189.880005,186.559998,189.559998,5774200,2017 Q4
COST,"December 5, 2017",189.669998,191.220001,186.850006,187.820007,3182800,2017 Q4
COST,"December 6, 2017",187.619995,187.979996,185.509995,187.220001,3569200,2017 Q4
COST,"December 7, 2017",186.509995,187.800003,185.559998,186.199997,2240800,2017 Q4
COST,"December 8, 2017",186.789993,188.529999,185.949997,188.070007,1772500,2017 Q4
COST,"December 11, 2017",188.210007,188.899994,187.039993,188.860001,1964100,2017 Q4
COST,"December 12, 2017",186.960007,189.119995,186.800003,188.300003,3365700,2017 Q4
COST,"December 13, 2017",188.529999,190.119995,187.800003,188.279999,3062900,2017 Q4
COST,"December 14, 2017",188.580002,189.740005,186.169998,186.529999,3743200,2017 Q4
COST,"December 15, 2017",193.410004,195.350006,192,192.729996,8452900,2017 Q4
COST,"December 18, 2017",192.630005,194.350006,191.899994,192.309998,3492300,2017 Q4
COST,"December 19, 2017",192.910004,193,187,188.330002,3959900,2017 Q4
COST,"December 20, 2017",189.039993,189.259995,185.399994,187.509995,3894400,2017 Q4
COST,"December 21, 2017",188,188.399994,186.580002,186.800003,1908100,2017 Q4
COST,"December 22, 2017",187.270004,187.479996,185.970001,186.630005,1078300,2017 Q4
COST,"December 26, 2017",186.190002,187.339996,186.119995,186.550003,1120000,2017 Q4
COST,"December 27, 2017",186.850006,187.059998,185.800003,186.300003,1175200,2017 Q4
COST,"December 28, 2017",186.570007,187.020004,186.190002,186.619995,1017000,2017 Q4
COST,"December 29, 2017",186.460007,187.600006,185.929993,186.119995,2028000,2017 Q4
COST,"January 2, 2018",187.229996,190.679993,186.740005,188.320007,2509300,2018 Q1
COST,"January 3, 2018",188.820007,192.100006,188.380005,190.580002,3364400,2018 Q1
COST,"January 4, 2018",192,192.300003,187.559998,189.100006,3525800,2018 Q1
COST,"January 5, 2018",189.429993,189.679993,186.720001,187.75,2819000,2018 Q1
COST,"January 8, 2018",187.320007,188.979996,187.25,188.479996,1961800,2018 Q1
COST,"January 9, 2018",189.009995,189.300003,186.149994,186.289993,2241900,2018 Q1
COST,"January 10, 2018",185.75,186.240005,183.880005,185.419998,2609500,2018 Q1
COST,"January 11, 2018",185.429993,190.669998,185.029999,189.380005,4678600,2018 Q1
COST,"January 12, 2018",190.100006,192.179993,190,191.839996,3499500,2018 Q1
COST,"January 16, 2018",192.350006,192.839996,190.889999,191.529999,2006600,2018 Q1
COST,"January 17, 2018",192.529999,192.559998,191.339996,192.289993,2585200,2018 Q1
COST,"January 18, 2018",192.229996,193.029999,191.220001,191.509995,1908000,2018 Q1
COST,"January 19, 2018",191.710007,192.639999,191.160004,192.289993,2353800,2018 Q1
COST,"January 22, 2018",192.5,194.759995,192.059998,194.380005,3009100,2018 Q1
COST,"January 23, 2018",193.610001,194.100006,192.070007,193.419998,2316400,2018 Q1
COST,"January 24, 2018",194.429993,194.75,191.929993,194.240005,2799200,2018 Q1
COST,"January 25, 2018",195,198.449997,194.740005,197.949997,3558700,2018 Q1
COST,"January 26, 2018",197.75,199.229996,195.690002,198.910004,2756200,2018 Q1
COST,"January 29, 2018",198.369995,199.880005,197.559998,198.320007,2031100,2018 Q1
COST,"January 30, 2018",197.589996,198.789993,196.080002,197.910004,2285000,2018 Q1
COST,"January 31, 2018",197.440002,198.470001,194.100006,194.869995,2682300,2018 Q1
COST,"February 1, 2018",193.410004,195.399994,192.440002,193.470001,2096600,2018 Q1
COST,"February 2, 2018",191.25,193.600006,190.800003,190.990005,2386600,2018 Q1
COST,"February 5, 2018",190.660004,192.100006,182.529999,182.770004,3407200,2018 Q1
COST,"February 6, 2018",178.910004,185.240005,176.199997,185.009995,4067900,2018 Q1
COST,"February 7, 2018",184.600006,186.190002,183.070007,183.190002,2594800,2018 Q1
COST,"February 8, 2018",184.509995,184.509995,178.529999,178.610001,3013200,2018 Q1
COST,"February 9, 2018",179.779999,182.070007,175.789993,180.720001,2777200,2018 Q1
COST,"February 12, 2018",181.839996,183.259995,180.380005,181.059998,1596200,2018 Q1
COST,"February 13, 2018",180.220001,184.600006,180.050003,184.149994,2123900,2018 Q1
COST,"February 14, 2018",182.710007,188.479996,182.309998,187.350006,2191000,2018 Q1
COST,"February 15, 2018",188.089996,191.710007,186.570007,191.479996,2072900,2018 Q1
COST,"February 16, 2018",191.449997,194.619995,191.039993,191.559998,1969300,2018 Q1
COST,"February 20, 2018",189.869995,191.479996,187.630005,188.119995,2202100,2018 Q1
COST,"February 21, 2018",188.529999,189.139999,185.690002,185.75,1747200,2018 Q1
COST,"February 22, 2018",186.350006,188.330002,185.660004,186.589996,1360100,2018 Q1
COST,"February 23, 2018",187.830002,189.850006,185.910004,189.809998,1561700,2018 Q1
COST,"February 26, 2018",190.100006,193.100006,189.929993,192.809998,1852400,2018 Q1
COST,"February 27, 2018",193.449997,195.520004,190.100006,190.100006,2170400,2018 Q1
COST,"February 28, 2018",191.600006,193.759995,190.889999,190.899994,2179800,2018 Q1
COST,"March 1, 2018",191.309998,192.990005,187.320007,189.029999,2447700,2018 Q1
COST,"March 2, 2018",187.479996,190.389999,187.220001,189.330002,2275900,2018 Q1
COST,"March 5, 2018",188.449997,191.979996,187.5,191.479996,2155800,2018 Q1
