Retailer,Beta,P/E
"Macy's, Inc. ",1.68,3.85
Target Corporation,1.02,18.03
Walmart Inc.,0.51,27.36
Costco Wholesale Corporation ,0.72,36.39
"The Home Depot, Inc.",0.96,16.92
"Lowe's Companies, Inc.",1.17,14.31
"The TJX Companies, Inc.",0.86,24.15
"Walgreens Boots Alliance, Inc.",0.65,6.85
CVS Health Corporation,0.71,15.1
"Burlington Stores, Inc.",0.91,49.5
The Kroger Co.,0.51,13.34
"Albertsons Companies, Inc.",0.54,7.34
"Dillard's, Inc. ",0.79,6.35
"Dollar Tree, Inc.",0.69,20.84
"Ingles Markets, Incorporated",0.59,6.25
Dollar General Corporation,0.39,23.84
"Ulta Beauty, Inc.",1.35,17.85
"BJ's Wholesale Club Holdings, Inc.",0.43,19.83
"O'Reilly Automotive, Inc.",0.94,23.73
"Ross Stores, Inc.",0.95,20.16
"Best Buy Co., Inc.",1.49,8.54
"Advance Auto Parts, Inc.",1.24,19.85
"DICK'S Sporting Goods, Inc.",1.51,9.47
"Williams-Sonoma, Inc.",1.62,7.35
"AutoZone, Inc.",0.73,19.78
Tractor Supply Company,0.86,21.81
